START final-dev-2b-2048.jsonl
challenge-18-1 guard_rejected 14082.314014434814ms
challenge-18-2 completed 10334.280967712402ms
challenge-18-3 completed 9846.625924110413ms
challenge-18-4 completed 10883.357048034668ms
challenge-18-5 completed 10324.11003112793ms
challenge-19-1 completed 16911.500930786133ms
challenge-19-2 completed 10476.933002471924ms
challenge-19-3 completed 11569.653987884521ms
challenge-19-4 completed 11069.035053253174ms
challenge-19-5 completed 10376.955032348633ms
challenge-20-1 guard_rejected 11722.882986068726ms
challenge-20-2 guard_rejected 14525.941014289856ms
challenge-20-3 completed 11767.940998077393ms
challenge-20-4 guard_rejected 20848.753094673157ms
challenge-20-5 guard_rejected 12701.62296295166ms
DONE final-challenge-2b-2048.jsonl
START final-dev-0.8b-2048.jsonl
dev-01-1 completed 8501.389026641846ms
dev-01-2 guard_rejected 10254.725933074951ms
dev-01-3 completed 7058.019042015076ms
dev-01-4 guard_rejected 12150.171995162964ms
dev-01-5 guard_rejected 7412.620067596436ms
dev-02-1 completed 8251.500964164734ms
dev-02-2 completed 7134.507060050964ms
dev-02-3 completed 7195.587038993835ms
dev-02-4 completed 9952.924013137817ms
dev-02-5 completed 7166.616916656494ms
dev-03-1 completed 9190.29700756073ms
dev-03-2 guard_rejected 9245.284914970398ms
dev-03-3 guard_rejected 10576.681017875671ms
dev-03-4 guard_rejected 8269.13595199585ms
dev-03-5 guard_rejected 12776.893019676208ms
dev-04-1 guard_rejected 11870.499014854431ms
dev-04-2 completed 6943.825006484985ms
dev-04-3 guard_rejected 7487.154006958008ms
dev-04-4 guard_rejected 10784.33895111084ms
dev-04-5 guard_rejected 7676.853060722351ms
dev-05-1 completed 8239.767074584961ms
dev-05-2 guard_rejected 10061.468958854675ms
dev-05-3 guard_rejected 11060.464978218079ms
dev-05-4 guard_rejected 9631.430983543396ms
dev-05-5 completed 7092.546105384827ms
dev-06-1 completed 8749.346017837524ms
dev-06-2 completed 6650.039076805115ms
dev-06-3 completed 8049.6180057525635ms
dev-06-4 guard_rejected 9847.908973693848ms
dev-06-5 completed 7804.567933082581ms
dev-07-1 guard_rejected 14245.39601802826ms
dev-07-2 guard_rejected 9918.545961380005ms
dev-07-3 guard_rejected 10561.978936195374ms
dev-07-4 guard_rejected 15521.224021911621ms
dev-07-5 guard_rejected 11568.427920341492ms
dev-08-1 guard_rejected 10361.966013908386ms
dev-08-2 completed 7078.695058822632ms
dev-08-3 guard_rejected 13176.980972290039ms
dev-08-4 guard_rejected 10742.101073265076ms
dev-08-5 guard_rejected 10554.573059082031ms
DONE final-dev-0.8b-2048.jsonl
START final-challenge-0.8b-2048.jsonl
challenge-09-1 completed 7474.217057228088ms
challenge-09-2 completed 7963.919043540955ms
challenge-09-3 completed 6711.11798286438ms
challenge-09-4 guard_rejected 10753.623008728027ms
challenge-09-5 guard_rejected 10106.189966201782ms
challenge-10-1 completed 7960.2110385894775ms
challenge-10-2 guard_rejected 9711.725950241089ms
challenge-10-3 guard_rejected 8943.824052810669ms
challenge-10-4 guard_rejected 7994.125962257385ms
challenge-10-5 guard_rejected 7382.966041564941ms
challenge-11-1 guard_rejected 11772.734999656677ms
challenge-11-2 guard_rejected 10534.203052520752ms
challenge-11-3 guard_rejected 11809.538006782532ms
challenge-11-4 guard_rejected 11939.186930656433ms
challenge-11-5 guard_rejected 11406.316995620728ms
challenge-12-1 completed 9955.891966819763ms
challenge-12-2 guard_rejected 13193.421959877014ms
challenge-12-3 completed 9489.063024520874ms
challenge-12-4 guard_rejected 14408.0970287323ms
challenge-12-5 guard_rejected 14366.933941841125ms
challenge-13-1 completed 8911.728024482727ms
challenge-13-2 guard_rejected 9914.143919944763ms
challenge-13-3 completed 8413.597106933594ms
challenge-13-4 guard_rejected 12549.682021141052ms
challenge-13-5 guard_rejected 12777.09698677063ms
challenge-14-1 guard_rejected 14670.4740524292ms
challenge-14-2 guard_rejected 10493.690013885498ms
challenge-14-3 guard_rejected 6643.419981002808ms
challenge-14-4 guard_rejected 12304.720997810364ms
challenge-14-5 completed 8490.730047225952ms
challenge-15-1 guard_rejected 11366.338014602661ms
challenge-15-2 completed 6938.022971153259ms
challenge-15-3 guard_rejected 10723.912954330444ms
challenge-15-4 guard_rejected 7114.262938499451ms
challenge-15-5 guard_rejected 10904.793977737427ms
challenge-16-1 guard_rejected 11286.011099815369ms
challenge-16-2 guard_rejected 10123.705983161926ms
challenge-16-3 guard_rejected 8205.935955047607ms
challenge-16-4 guard_rejected 7236.663937568665ms
challenge-16-5 guard_rejected 12598.953008651733ms
challenge-17-1 guard_rejected 12937.818050384521ms
challenge-17-2 guard_rejected 9524.864912033081ms
challenge-17-3 guard_rejected 9505.3950548172ms
challenge-17-4 completed 6042.828917503357ms
challenge-17-5 completed 8541.981935501099ms
challenge-18-1 guard_rejected 15787.900924682617ms
challenge-18-2 guard_rejected 6320.52206993103ms
challenge-18-3 guard_rejected 9010.804057121277ms
challenge-18-4 guard_rejected 8847.978949546814ms
challenge-18-5 guard_rejected 12264.853954315186ms
challenge-19-1 guard_rejected 11996.250987052917ms
challenge-19-2 completed 8475.478053092957ms
challenge-19-3 completed 8206.523060798645ms
challenge-19-4 guard_rejected 10968.266010284424ms
challenge-19-5 guard_rejected 9295.671939849854ms
challenge-20-1 completed 9732.5119972229ms
challenge-20-2 guard_rejected 12025.111079216003ms
challenge-20-3 guard_rejected 8832.010984420776ms
challenge-20-4 guard_rejected 8742.236018180847ms
challenge-20-5 guard_rejected 9845.423936843872ms
DONE final-challenge-0.8b-2048.jsonl
START final-dev-4b-2048.jsonl
dev-01-1 completed 35258.84401798248ms
dev-01-2 completed 20500.604033470154ms
dev-01-3 completed 19601.24397277832ms
dev-01-4 completed 22734.62402820587ms
dev-01-5 guard_rejected 27699.213981628418ms
dev-02-1 guard_rejected 27781.349062919617ms
dev-02-2 completed 19067.909002304077ms
dev-02-3 completed 19770.23696899414ms
dev-02-4 completed 27397.297978401184ms
dev-02-5 completed 19989.614963531494ms
dev-03-1 guard_rejected 33056.784987449646ms
dev-03-2 completed 27009.430050849915ms
dev-03-3 completed 23572.752952575684ms
dev-03-4 completed 21177.4480342865ms
dev-03-5 completed 19773.580074310303ms
dev-04-1 completed 26857.67102241516ms
dev-04-2 completed 19853.354930877686ms
dev-04-3 completed 20247.102975845337ms
dev-04-4 completed 19437.754034996033ms
dev-04-5 completed 19917.301058769226ms
dev-05-1 completed 20718.804955482483ms
dev-05-2 completed 18890.058040618896ms
dev-05-3 completed 19906.121015548706ms
dev-05-4 completed 20473.8290309906ms
dev-05-5 completed 18770.853996276855ms
dev-06-1 guard_rejected 29518.95499229431ms
dev-06-2 completed 19229.987025260925ms
dev-06-3 completed 24442.48402118683ms
dev-06-4 completed 20924.9130487442ms
dev-06-5 guard_rejected 21377.62701511383ms
dev-07-1 guard_rejected 25319.4659948349ms
dev-07-2 completed 18613.139033317566ms
dev-07-3 guard_rejected 21453.304052352905ms
Traceback (most recent call last):
  File "/Users/malmeida/Documents/ChatGPT/Leu/LeuQwenLocal/scripts/run-qwen-comparison.py", line 47, in <module>
    model=root/f".qwen-local/Qwen3.5-{size}-Q4_K_M.gguf"
  File "/opt/homebrew/Cellar/python@3.14/3.14.5/Frameworks/Python.framework/Versions/3.14/lib/python3.14/subprocess.py", line 578, in run
    raise CalledProcessError(retcode, process.args,
                             output=stdout, stderr=stderr)
subprocess.CalledProcessError: Command '['/Users/malmeida/Documents/ChatGPT/Leu/LeuQwenLocal/.qwen-local/host-final/qwen-benchmark', '/Users/malmeida/Documents/ChatGPT/Leu/LeuQwenLocal/docs/qwen-local/dev-cases.json', '/Users/malmeida/Documents/ChatGPT/Leu/LeuQwenLocal/.qwen-local/Qwen3.5-4B-Q4_K_M.gguf', '2048', '/Users/malmeida/Documents/ChatGPT/Leu/LeuQwenLocal/docs/qwen-local/final-dev-4b-2048.jsonl']' died with <Signals.SIGTERM: 15>.
